สรุปภาพรวมการเสนอคำขอรับการสนุบสนุนงบประมาณเงินอุดหนุนเฉพาะกิจขององค์กรปกครองส่วนท้องถิ่น (เทศบาลตำบลและองค์การบริหารส่วนตำบล),,,,,,,,,,,,,,,
ประจำปีงบประมาณ พ.ศ. 2566,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, หน่วย : บาท
ลำดับ,จังหวัด,จังหวัด,อำเภอ,ประเภท,อปท.,คำขอ อปท. (ทต. และ อบต.) ผ่านระบบ SOLA,,,,สถ. ทำคำขอในระบบ e-Budgeting,,,,พ.ร.บ. งบประมาณรายจ่ายประจำปี 66,
,,,,,,รายการ, งบประมาณรวม, คำขอเงินอุดหนุน, เงินสมทบ,รายการ, งบประมาณรวม, คำขอเงินอุดหนุน, เงินสมทบ,รายการ, งบประมาณ
,,,,,,"5,434", แห่ง,,,"5,347", แห่ง,,,"5,640", แห่ง
63,กาญจนบุรี ด่านมะขามเตี้ย อบต.จรเข้เผือก,กาญจนบุรี,ด่านมะขามเตี้ย,อบต.,อบต.จรเข้เผือก,1,"  2,400,000 ","  2,400,000 ",  -   ,1 ,"  2,500,000 ","  2,500,000 ",  -   ,1 ,"  2,500,000 "
64,กาญจนบุรี ด่านมะขามเตี้ย อบต.ด่านมะขามเตี้ย,กาญจนบุรี,ด่านมะขามเตี้ย,อบต.,อบต.ด่านมะขามเตี้ย,2,"  15,613,000 ","  15,613,000 ",  -   ,2 ,"  5,868,000 ","  5,868,000 ",  -   ,1 ,"  5,868,000 "
65,กาญจนบุรี ด่านมะขามเตี้ย อบต.หนองไผ่,กาญจนบุรี,ด่านมะขามเตี้ย,อบต.,อบต.หนองไผ่,3,"  21,973,000 ","  21,973,000 ",  -   ,3 ,"  12,384,000 ","  12,384,000 ",  -   ,1 ,"  9,589,000 "
66,กาญจนบุรี ทองผาภูมิ ทต.ทองผาภูมิ,กาญจนบุรี,ทองผาภูมิ,ทต.,ทต.ทองผาภูมิ,1,"  500,000 ","  500,000 ",  -   ,1 ,"  500,000 ","  500,000 ",  -   ,0 ,  -   
67,กาญจนบุรี ทองผาภูมิ ทต.ท่าขนุน,กาญจนบุรี,ทองผาภูมิ,ทต.,ทต.ท่าขนุน,8,"  51,792,000 ","  51,792,000 ",  -   ,8 ,"  19,250,000 ","  19,250,000 ",  -   ,2 ,"  16,750,000 "
68,กาญจนบุรี ทองผาภูมิ ทต.ลิ่นถิ่น,กาญจนบุรี,ทองผาภูมิ,ทต.,ทต.ลิ่นถิ่น,2,"  10,330,000 ","  10,330,000 ",  -   ,2 ,"  7,860,000 ","  7,860,000 ",  -   ,2 ,"  7,878,700 "
69,กาญจนบุรี ทองผาภูมิ ทต.สหกรณ์นิคม,กาญจนบุรี,ทองผาภูมิ,ทต.,ทต.สหกรณ์นิคม,10,"  33,696,000 ","  33,696,000 ",  -   ,8 ,"  21,968,000 ","  21,968,000 ",  -   ,3 ,"  10,126,700 "
70,กาญจนบุรี ทองผาภูมิ อบต.ชะแล,กาญจนบุรี,ทองผาภูมิ,อบต.,อบต.ชะแล,4,"  30,898,000 ","  30,898,000 ",  -   ,4 ,"  13,658,000 ","  13,658,000 ",  -   ,2 ,"  9,799,400 "
71,กาญจนบุรี ทองผาภูมิ อบต.ปิล๊อก,กาญจนบุรี,ทองผาภูมิ,อบต.,อบต.ปิล๊อก,0,  -   ,  -   ,  -   ,0 ,  -   ,  -   ,  -   ,0 ,  -   
72,กาญจนบุรี ทองผาภูมิ อบต.ห้วยเขย่ง,กาญจนบุรี,ทองผาภูมิ,อบต.,อบต.ห้วยเขย่ง,5,"  31,161,000 ","  31,161,000 ",  -   ,5 ,"  31,161,000 ","  31,161,000 ",  -   ,2 ,"  5,018,400 "
